Rk,Player,PTS,Age,Team,Pos,G,GS,MP,PER,TSp,3PAr,FTr,ORBp,DRBp,TRBp,ASTp,STLp,BLKp,TOVp,USGp,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
286,Kelly Olynyk,384,22,DET,SG,30,30,898,14.7,0.569,0.373,0.281,5,10.2,7.6,19.8,1.5,1.2,16.1,26,0.3,0.9,1.2,0.063,0.7,-0.8,0,0.5
287,Gary Payton II,396,33,2TM,C,44,22,891,14.9,0.609,0.295,0.403,7.3,17.9,12.5,20.5,1.8,2,19.4,18.5,1,0.8,1.7,0.094,-1.1,0.4,-0.7,0.3
288,Chet Holmgren,479,32,GSW,SG,60,11,888,16.8,0.641,0.322,0.13,6.1,15.7,10.7,13.5,2.7,1.8,10.2,16.3,1.6,1.4,3,0.163,-0.2,2,1.8,0.9
289,Jaden Hardy,476,22,OKC,C,32,32,877,19.2,0.599,0.34,0.393,6,25.1,15.8,9.8,1.3,8.2,12.3,22.1,1.1,2,3.1,0.172,0.5,1.9,2.4,1
290,Chris Boucher,502,22,DAL,SG,55,3,866,10.6,0.553,0.47,0.208,1.2,9.4,5.4,13.2,1.5,0.5,15.5,25.3,-0.7,0.5,-0.2,-0.014,-2.8,-1.9,-4.6,-0.6
291,Zion Williamson,737,32,TOR,PF,50,0,862,18.7,0.615,0.522,0.235,8.5,19.6,14,5.9,1.3,2.8,6.6,21.2,1.7,1,2.7,0.149,2.9,-0.6,2.3,0.9
292,Trendon Watford,415,24,NOP,PF,30,30,857,27.4,0.6,0.026,0.474,9.3,18.2,13.6,36.4,2.1,3,12.8,34.7,1.9,0.6,2.6,0.143,5.9,1,7,2
293,Khris Middleton,440,24,BRK,PF,42,4,847,12.7,0.554,0.257,0.362,4.5,15.5,9.7,20.9,1.5,1.3,17.2,23.3,-0.1,0.7,0.6,0.035,-2.5,-0.8,-3.3,-0.3
294,Alec Burks,344,33,2TM,SF,37,21,843,16.8,0.588,0.395,0.249,1.7,15.4,8.7,26.9,2,0.9,13,22,1.2,0.8,2,0.116,0.3,0.3,0.7,0.6
295,Adem Bona,303,33,MIA,SG,48,13,842,12.6,0.602,0.758,0.186,2,13.7,7.9,8.9,1.6,0.8,8.6,16.5,0.8,0.9,1.7,0.097,-0.1,0.3,0.1,0.4
296,Neemias Queta,301,21,PHI,C,56,9,841,16.1,0.709,0.006,0.517,11.3,20.2,15.6,4.6,1.4,7.5,21.1,14,1.2,0.9,2.1,0.118,-3.1,0.1,-2.9,-0.2
297,Dereck Lively II,304,25,BOS,C,60,6,825,16.2,0.68,0.015,0.308,11.5,18.7,15.1,6.9,1,4.4,15.3,13.9,1.8,1.3,3,0.175,-1.7,0.8,-0.9,0.2
298,Ryan Rollins,342,20,DAL,C,35,28,815,20,0.703,0,0.397,13.8,20.8,17.3,14.6,1.2,5.9,15.6,13.5,2.4,1,3.4,0.199,1.1,2.3,3.4,1.1
299,Garrison Mathews,341,22,MIL,PG,55,18,802,13.9,0.598,0.44,0.169,3,11.1,7.2,17.6,2.5,2,15.4,18.5,0.6,1,1.7,0.1,-1.4,0.9,-0.5,0.3
300,Karlo Matković,325,28,ATL,SG,46,2,793,11.4,0.605,0.851,0.31,1.7,10,5.7,9.6,1.5,1.6,9.3,16.1,1,0.5,1.5,0.089,-1.1,-0.4,-1.5,0.1
